Allergy_Free_Text_Description	Mention	Use Count	DECISION	Comment	RxNorm_CUI	RxNorm_Name	UMLS_CUI_2	NDFRT_Full_Name	UNII_Code	UNII_Display_Name	SNOMED_CONCEPTID	SNOMED_FSN	UMLS_CUI
sulfa, latex sensitive, codiene	latex sensitive	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
sulfa, latex sensitive, codiene	sulfa	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
sulfa, levaquin	levaquin	1	Map		82122	Levofloxacin	C0282386	Levofloxacin [Chemical/Ingredient]	6GNT3Y5LMF	LEVOFLOXACIN	387552007	Levofloxacin (substance)	C0282386
sulfa, levaquin	sulfa	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
sulfa, PCN	PCN	2	Map		70618	Penicillin	C0220892	Penicillin [Chemical/Ingredient]			764146007	Penicillin (substance)	C0220892
sulfa, PCN	sulfa	2	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
sulfa, succinocholine	succinocholine	1	Map		10154	Succinylcholine	C0038627	Succinylcholine [Chemical/Ingredient]	J2R869A8YF	SUCCINYLCHOLINE	372724004	Succinylcholine (substance)	C0038627
sulfa, succinocholine	sulfa	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
SULFA,MORPHINE	MORPHINE	1	Map		7052	Morphine	C0026549	Morphine [Chemical/Ingredient]	76I7G6D29C	MORPHINE	373529000	Morphine (substance)	C0026549
SULFA,MORPHINE	SULFA	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
SULFA. PCN	PCN	1	Map		70618	Penicillin	C0220892	Penicillin [Chemical/Ingredient]			764146007	Penicillin (substance)	C0220892
SULFA. PCN	SULFA	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
SULFA/COMPAZINE	COMPAZINE	1	Map		8704	Prochlorperazine	C0033229	Prochlorperazine [Chemical/Ingredient]	YHP6YLT61T	PROCHLORPERAZINE	372853006	Prochlorperazine (substance)	C0033229
SULFA/COMPAZINE	SULFA	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
sulfadiazine	sulfadiazine	6	Map		10171	Sulfadiazine	C0038675	Sulfadiazine [Chemical/Ingredient]	0N7609K889	SULFADIAZINE	74523009	Sulfadiazine (substance)	C0038675
sulfamethoxazole	sulfamethoxazole	12	Map		10180	Sulfamethoxazole	C0038689	Sulfamethoxazole [Chemical/Ingredient]	JE42381TNV	SULFAMETHOXAZOLE	363528007	Sulfamethoxazole (substance)	C0038689
sulfanamides	sulfanamides	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
sulfar	sulfar	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
sulfas	sulfas	2	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
SULFATES	SULFATES	2	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
Sulfer	Sulfer	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
Sulffa	Sulffa	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
sulfides	sulfides	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
sulfites	sulfites	7	Map				C0038750	Sulfites [Chemical/Ingredient]			51963001	Sulfite salt (substance)	C0038750
sulfur	sulfur	7	Map				C2348286	Sulfonamides [Chemical/Ingredient]	70FD1KFU70	SULFUR	43735007	Sulfur (substance)	C0038774
SULFUR DRUGS	SULFUR DRUGS	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
sulfur, erythromycin, amoxicillin	amoxicillin	1	Map		723	Amoxicillin	C0002645	Amoxicillin [Chemical/Ingredient]	804826J2HU	AMOXICILLIN	372687004	Amoxicillin (substance)	C0002645
sulfur, erythromycin, amoxicillin	erythromycin	1	Map		4053	Erythromycin	C0014806	Erythromycin [Chemical/Ingredient]	63937KV33D	ERYTHROMYCIN	372694001	Erythromycin (substance)	C0014806
sulfur, erythromycin, amoxicillin	sulfur	1	Map				C2348286	Sulfonamides [Chemical/Ingredient]	70FD1KFU70	SULFUR	43735007	Sulfur (substance)	C0038774
sulindac	sulindac	1	Map		10237	Sulindac	C0038792	Sulindac [Chemical/Ingredient]	184SNS8VUH	SULINDAC	387513000	Sulindac (substance)	C0038792
sulpha	sulpha	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
sulphites	sulphites	1	Map				C0038760	Sulfonamides [Chemical/Ingredient]			387406002	Sulfonamide (substance)	C0304693
Sunflowers	Sunflowers	1	Map	Close map	1309391	sunflower seed extract							C3257532
SUNSCREEN	SUNSCREEN	1	Map				C1372912	Sunscreening Activity [PE]					C1372912
suppositories	suppositories	1	Map	Suggest adding text annotation			C0038854	Suppository [Dose Form]			706493001	Suppository (physical object)	C0038854
suprex	suprex	1	Map		20481	cefepime	C0055003	cefepime [Chemical/Ingredient]	807PW4VQE3	CEFEPIME	96048006	Cefepime (substance)	C0055003
SURGICAL ANESTHESIA	SURGICAL ANESTHESIA	1	Map	Broader category, Suggest using original text as annotation			C0002932	[CN200] ANESTHETICS			373266007	Anesthetic (substance)	C0002932
surgical gel	surgical gel	1	Map				C1814376	LUBRICATING JELLY,TOP (K-Y) [VA Product]					C1814376
surgical soap-type unknown	surgical soap-type unknown	1	Map	Broader category, Suggest using original text as annotation			C0037392	SOAP			25780000	Soap (substance)	C0037392
surgical staples	surgical staples	2	Map				C0025552	Metals [Chemical/Ingredient]			425620007	Metal (substance)	C0025552
SURGICAL TAPE	SURGICAL TAPE	8	Text annotation only										
surgical tape (paper tape ok)	surgical tape (paper tape ok)	1	Text annotation only										
surginet	surginet	2	Do not map	Meaning unclear									
sushi	sushi	1	Text annotation only										
sustiva	sustiva	1	Map		195085	efavirenz	C0674428	efavirenz [Chemical/Ingredient]	JE6H2O27P8	EFAVIRENZ	387001004	Efavirenz (substance)	C0674428
suture material	suture material	1	Text annotation only								27065002	Surgical suture, device (physical object)	C0038969
sweet peppers	sweet peppers	1	Map	Suggest adding text annotation	1427085	Pepper extract							C3264738
swordfish	swordfish	1	Text annotation only				C1262988		01695YPV36	SWORDFISH	726731009	Swordfish (substance)	C1262988
Sympathomimetic Agents	Sympathomimetic Agents	1	Map	Suggest adding text annotation			C1875809	[AU100] SYMPATHOMIMETICS (ADRENERGICS)					C1875809
Synthetic Antibiotic erythtocin	Synthetic Antibiotic erythtocin	1	Map		4053	Erythromycin	C0014806	Erythromycin [Chemical/Ingredient]	63937KV33D	ERYTHROMYCIN	372694001	Erythromycin (substance)	C0014806
Synthetic Hormone	Synthetic Hormone	1	Map	Suggest adding text annotation			C0019932	Hormones [Chemical/Ingredient]			87568004	Hormone (substance)	C0019932
syntocin	syntocin	1	Map		7824	Oxytocin	C1704206	Oxytocin [Chemical/Ingredient]	1JQS135EYN	OXYTOCIN	112115002	Oxytocin (substance)	C0030095
tac/tetracaine-adrenalin-cocaine	tac/tetracaine-adrenalin-cocaine	1	Map		10391	Tetracaine	C0039629	Tetracaine [Chemical/Ingredient]	0619F35CGV	TETRACAINE	387309008	Tetracaine (substance)	C0039629
tacrolimus	tacrolimus	1	Map		42316	Tacrolimus	C0085149	Tacrolimus [Chemical/Ingredient]	WM0HAQ4WNM	TACROLIMUS	386975001	Tacrolimus (substance)	C0085149
TALCUM POWDER	TALCUM POWDER	1	Map		10323	Talc	C0039267	Talc [Chemical/Ingredient]	7SEV7J4R1U	TALC	1557002	Talc (substance)	C0039267
talwin	talwin	1	Map		8001	Pentazocine	C0030873	Pentazocine [Chemical/Ingredient]	RP4A60D26L	PENTAZOCINE	387213004	Pentazocine (substance)	C0030873
tamoxifin	tamoxifin	1	Map		10324	Tamoxifen	C0039286	Tamoxifen [Chemical/Ingredient]	094ZI81Y45	TAMOXIFEN	373345002	Tamoxifen (substance)	C0039286
TAPE	TAPE	26	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			84756000	Adhesive tape, device (physical object)	C0001514
tape , band aids	band aids	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			14423008	Adhesive bandage, device (physical object)	C0001512
tape , band aids	tape	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			84756000	Adhesive tape, device (physical object)	C0001514
tape adhesive	tape adhesive	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			84756000	Adhesive tape, device (physical object)	C0001514
tape,bandaids,adhesive	adhesive	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			8170008	Adhesive, device (physical object)	C0001516
tape,bandaids,adhesive	bandaids	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			14423008	Adhesive bandage, device (physical object)	C0001512
tape,bandaids,adhesive	tape	1	Map	Suggest adding text annotation			C0982135	ELASTIC ADHESIVE			84756000	Adhesive tape, device (physical object)	C0001514
taramycin	taramycin	1	Map		7821	Oxytetracycline	C0030092	Oxytetracycline [Chemical/Ingredient]	X20I9EN955	OXYTETRACYCLINE	372675006	Oxytetracycline (substance)	C0030092
tarwin	tarwin	1	Map		8001	Pentazocine	C0030873	Pentazocine [Chemical/Ingredient]	RP4A60D26L	PENTAZOCINE	387213004	Pentazocine (substance)	C0030873
tavist	tavist	1	Map		2578	Clemastine	C0546858	Clemastine [Chemical/Ingredient]	19259EGQ3D	CLEMASTINE FUMARATE	372744005	Clemastine (substance)	C0008929
tb meds	tb meds	1	Map				C0003448	[AM500] ANTITUBERCULARS			2537003	Antituberculosis agent (substance)	C0003448
tb skin test	tb skin test	1	Map		8948	Purified Protein Derivative of Tuberculin	C0034131	Purified Protein Derivative of Tuberculin [Chemical/Ingredient]	I7L8FKN87J	TUBERCULIN PURIFIED PROTEIN DERIVATIVE	108731003	Tuberculin purified protein derivative (substance)	C0034131
tb test	tb test	1	Map		8948	Purified Protein Derivative of Tuberculin	C0034131	Purified Protein Derivative of Tuberculin [Chemical/Ingredient]	I7L8FKN87J	TUBERCULIN PURIFIED PROTEIN DERIVATIVE	108731003	Tuberculin purified protein derivative (substance)	C0034131
TBHQ	TBHQ	1	Map		1362739	2-tert-butylhydroquinone	C0046563	HYDROQUINONE,TERTIARY BUTYL	C12674942B	TERT-BUTYLHYDROQUINONE	255906002	tert-Butylhydroquinone (substance)	C0046563
TCN	TCN	2	Map		10395	Tetracycline	C0077069	Tetracycline [Chemical/Ingredient]	2421HMY9N6	TRICIRIBINE	372809001	Tetracycline (substance)	C0039644
TD	TD	1	Map		1007589	diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated	C0058773	Diphtheria-Tetanus Vaccine [Chemical/Ingredient]			541000221109	Antigen of Clostridium (substance)	C0058773
Td booster	Td booster	1	Map		1007589	diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated	C0058773	Diphtheria-Tetanus Vaccine [Chemical/Ingredient]			541000221109	Antigen of Clostridium (substance)	C0058773
Td booster, had high fever	Td booster, had high fever	1	Map		1007589	diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated	C0058773	Diphtheria-Tetanus Vaccine [Chemical/Ingredient]			541000221109	Antigen of Clostridium (substance)	C0058773
TD with horse serum	TD with horse serum	1	Map	Suggest adding text annotation			C0039615	Tetanus Antitoxin [Chemical/Ingredient]			427004002	Tetanus antitoxin (substance)	C0039615
tea	tea	1	Map				C2756545	Tea [Chemical/Ingredient]	GH42T47V24	TEA LEAF	16313001	Tea (substance)	C0039400
Technitium Neutrospec	Technitium Neutrospec	1	Map	Suggest adding text annotation	1314371	Fanolesomab	C1572727	FANOLESOMAB	67ETM2384N	FANOLESOMAB			C1572727
tedral	tedral	1	Map		214542	Ephedrine / Phenobarbital / Theophylline	C0031412	EPHEDRINE/PHENOBARBITAL/THEOPHYLLINE	YQE403BP4D	PHENOBARBITAL	373505007	Phenobarbital (substance)	C0031412
tedrol?	tedrol?	1	Map		214542	Ephedrine / Phenobarbital / Theophylline	C0717744	EPHEDRINE/PHENOBARBITAL/THEOPHYLLINE					C0717744
tegaderm	tegaderm	6	Text annotation only										
Tegaderm/Opsite	Tegaderm/Opsite	1	Text annotation only										
TEGRETOL	TEGRETOL	1	Map		2002	Carbamazepine	C0006949	Carbamazepine [Chemical/Ingredient]	33CM23913M	CARBAMAZEPINE	387222003	Carbamazepine (substance)	C0006949
tegritol	tegritol	1	Map		2002	Carbamazepine	C0006949	Carbamazepine [Chemical/Ingredient]	33CM23913M	CARBAMAZEPINE	387222003	Carbamazepine (substance)	C0006949
telfa pad	telfa pad	1	Text annotation only										
temazepam	temazepam	1	Map		10355	Temazepam	C0039468	Temazepam [Chemical/Ingredient]	CHB1QD2QSS	TEMAZEPAM	387300007	Temazepam (substance)	C0039468
Tempeh meat substitute	Tempeh meat substitute	1	Map	Suggest adding text annotation	891668	soybean allergenic extract	C0037733	SOYBEAN	L7HT8F1ZOD	SOYBEAN	256355007	Soya bean (substance)	C0037733
tequin	tequin	3	Map		228476	gatifloxacin	C0753645	gatifloxacin [Chemical/Ingredient]	L4618BD7KJ	GATIFLOXACIN	116349004	Gatifloxacin (substance)	C0753645
teramycin	teramycin	9	Map		7821	Oxytetracycline	C0030092	Oxytetracycline [Chemical/Ingredient]	X20I9EN955	OXYTETRACYCLINE	372675006	Oxytetracycline (substance)	C0030092
TERAZOL	TERAZOL	1	Map		37806	terconazole	C0076115	terconazole [Chemical/Ingredient]	0KJ2VE664U	TERCONAZOLE	387140007	Terconazole (substance)	C0076115
terrazzol	terrazzol	1	Map		37806	terconazole	C0076115	terconazole [Chemical/Ingredient]	0KJ2VE664U	TERCONAZOLE	387140007	Terconazole (substance)	C0076115
TESTED PCN NEGATIVE	TESTED PCN NEGATIVE	1	Text annotation only	Not an allergy									
testosterone patch	testosterone patch	1	Map		10379	Testosterone	C0039601	Testosterone [Chemical/Ingredient]	3XMK78S47O	TESTOSTERONE	43688007	Testosterone (substance)	C0039601
TETANUS	TETANUS	17	Map		798306	tetanus toxoid vaccine, inactivated	C0305062	Tetanus Toxoid [Chemical/Ingredient]	K3W1N8YP13	CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED)	541000221109	Antigen of Clostridium tetani (substance)	C0305062
tetanus shot	tetanus shot	2	Map		798306	tetanus toxoid vaccine, inactivated	C0305062	Tetanus Toxoid [Chemical/Ingredient]	K3W1N8YP13	CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED)	716075003	Tetanus toxoid adsorbed (substance)	C0305062
tetanus vaccine	tetanus vaccine	1	Map		798306	tetanus toxoid vaccine, inactivated	C0305062	Tetanus Toxoid [Chemical/Ingredient]	K3W1N8YP13	CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED)	541000221109	Antigen of Clostridium tetani (substance)	C0305062
Tetanus with Pertussis	Tetanus with Pertussis	1	Map		1007589	diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated	C0058773	Diphtheria-Tetanus Vaccine [Chemical/Ingredient]			73152006	Tetanus diphtheria vaccination (procedure)	C0058773
tetnus	tetnus	7	Map		798306	tetanus toxoid vaccine, inactivated	C0305062	Tetanus Toxoid [Chemical/Ingredient]	K3W1N8YP13	CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED)	716075003	Tetanus toxoid adsorbed (substance)	C0305062
tetnus antitixon	tetnus antitixon	1	Map		1727875	Tetanus immune globulin	C0039615	Tetanus Antitoxin [Chemical/Ingredient]	V4SWI4RF4J	HUMAN CLOSTRIDIUM TETANI TOXOID IMMUNE GLOBULIN	425682001	Tetanus immunoglobulin (substance)	C4048265
Tetnus Shot	Tetnus Shot	1	Map		798306	tetanus toxoid vaccine, inactivated	C0305062	Tetanus Toxoid [Chemical/Ingredient]	K3W1N8YP13	CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED)	716075003	Tetanus toxoid adsorbed (substance)	C0305062
tetnus toxoid	tetnus toxoid	2	Map		798306	tetanus toxoid vaccine, inactivated	C0305062	Tetanus Toxoid [Chemical/Ingredient]	K3W1N8YP13	CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED)	716075003	Tetanus toxoid adsorbed (substance)	C0305062
tetra	tetra	1	Map		10395	Tetracycline	C0039644	Tetracycline [Chemical/Ingredient]	F8VB5M810T	TETRACYCLINE	372809001	Tetracycline (substance)	C0039644
tetracyclin	tetracyclin	3	Map		10395	Tetracycline	C0039644	Tetracycline [Chemical/Ingredient]	F8VB5M810T	TETRACYCLINE	372809001	Tetracycline (substance)	C0039644
Tetracycline	Tetracycline	47	Map		10395	Tetracycline	C0039644	Tetracycline [Chemical/Ingredient]	F8VB5M810T	TETRACYCLINE	372809001	Tetracycline (substance)	C0039644
tetracylcine	tetracylcine	1	Map		10395	Tetracycline	C0039644	Tetracycline [Chemical/Ingredient]	F8VB5M810T	TETRACYCLINE	372809001	Tetracycline (substance)	C0039644
tetramycin	tetramycin	1	Map		10395	Tetracycline	C0039644	Tetracycline [Chemical/Ingredient]	F8VB5M810T	TETRACYCLINE	372809001	Tetracycline (substance)	C0039644
TETRRACYCLINE	TETRRACYCLINE	2	Map		10395	Tetracycline	C0039644	Tetracycline [Chemical/Ingredient]	F8VB5M810T	TETRACYCLINE	372809001	Tetracycline (substance)	C0039644
TETUNUS	TETUNUS	1	Map		798306	tetanus toxoid vaccine, inactivated	C0305062	Tetanus Toxoid [Chemical/Ingredient]	K3W1N8YP13	CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED)	716075003	Tetanus toxoid adsorbed (substance)	C0305062
tetus	tetus	1	Map		798306	tetanus toxoid vaccine, inactivated	C0305062	Tetanus Toxoid [Chemical/Ingredient]	K3W1N8YP13	CLOSTRIDIUM TETANI TOXOID ANTIGEN (FORMALDEHYDE INACTIVATED)	716075003	Tetanus toxoid adsorbed (substance)	C0305062
TEZ001	TEZ001	1	Do not map	Meaning unclear									
THEODUR	THEODUR	2	Map		10438	Theophylline	C0039771	Theophylline [Chemical/Ingredient]	C137DTR5RG	THEOPHYLLINE	372810006	Theophylline (substance)	C0039771
Theophlin	Theophlin	1	Map		10438	Theophylline	C0039771	Theophylline [Chemical/Ingredient]	C137DTR5RG	THEOPHYLLINE	372810006	Theophylline (substance)	C0039771
theophyllin	theophyllin	1	Map		10438	Theophylline	C0039771	Theophylline [Chemical/Ingredient]	C137DTR5RG	THEOPHYLLINE	372810006	Theophylline (substance)	C0039771
theophylline	theophylline	1	Map		10438	Theophylline	C0039771	Theophylline [Chemical/Ingredient]	C137DTR5RG	THEOPHYLLINE	372810006	Theophylline (substance)	C0039771
Theopline	Theopline	1	Map		10438	Theophylline	C0039771	Theophylline [Chemical/Ingredient]	C137DTR5RG	THEOPHYLLINE	372810006	Theophylline (substance)	C0039771
thermasol	thermasol	1	Map		10472	Thimerosal	C0039867	Thimerosal [Chemical/Ingredient]	2225PI3MOV	THIMEROSAL	3379001	Thimerosal (substance)	C0039867
Thermisol	Thermisol	1	Map		10472	Thimerosal	C0039867	Thimerosal [Chemical/Ingredient]	2225PI3MOV	THIMEROSAL	3379001	Thimerosal (substance)	C0039867
THIAMERSOL	THIAMERSOL	1	Map		10472	Thimerosal	C0039867	Thimerosal [Chemical/Ingredient]	2225PI3MOV	THIMEROSAL	3379001	Thimerosal (substance)	C0039867
thiazide diuretics	thiazide diuretics	1	Map				C0541746	Thiazides [Chemical/Ingredient]					C0541746
Thimerisol	Thimerisol	5	Map		10472	Thimerosal	C0039867	Thimerosal [Chemical/Ingredient]	2225PI3MOV	THIMEROSAL	3379001	Thimerosal (substance)	C0039867
thimerosol	thimerosol	1	Map		10472	Thimerosal	C0039867	Thimerosal [Chemical/Ingredient]	2225PI3MOV	THIMEROSAL	3379001	Thimerosal (substance)	C0039867
thimersol	thimersol	2	Map		10472	Thimerosal	C0039867	Thimerosal [Chemical/Ingredient]	2225PI3MOV	THIMEROSAL	3379001	Thimerosal (substance)	C0039867
Thiophylline,Latex	Latex	1	Map		1314891	Latex	C0023115	Latex [Chemical/Ingredient]	2LQ0UUW8IN	NATURAL LATEX RUBBER	111088007	Latex (substance)	C0023115
Thiophylline,Latex	Thiophylline	1	Map		10438	Theophylline	C0039771	Theophylline [Chemical/Ingredient]	C137DTR5RG	THEOPHYLLINE	372810006	Theophylline (substance)	C0039771
THORAZINE	THORAZINE	3	Map		2403	Chlorpromazine	C0008286	Chlorpromazine [Chemical/Ingredient]	U42B7VYA4P	CHLORPROMAZINE	387258005	Chlorpromazine (substance)	C0008286
thymol	thymol	1	Map		10553	Thymol	C0040096	Thymol [Chemical/Ingredient]	3J50XA376E	THYMOL	54932001	Thymol (substance)	C0040096
ticlid	ticlid	2	Map		10594	Ticlopidine	C0000598	Ticlopidine [Chemical/Ingredient]	A1L4914FMF	TICLOPIDINE HYDROCHLORIDE	386950000	Ticlopidine (substance)	C0040207
ticlide	ticlide	1	Map		10594	Ticlopidine	C0040207	Ticlopidine [Chemical/Ingredient]	OM90ZUW7M1	TICLOPIDINE	386950000	Ticlopidine (substance)	C0040207
ticlit	ticlit	1	Map		10594	Ticlopidine	C0040207	Ticlopidine [Chemical/Ingredient]	OM90ZUW7M1	TICLOPIDINE	386950000	Ticlopidine (substance)	C0040207
Ticlopine	Ticlopine	1	Map		10594	Ticlopidine	C0040207	Ticlopidine [Chemical/Ingredient]	OM90ZUW7M1	TICLOPIDINE	386950000	Ticlopidine (substance)	C0040207
tide detergent	tide detergent	1	Text annotation only										
tigan	tigan	1	Map		38685	trimethobenzamide	C0145932	trimethobenzamide [Chemical/Ingredient]	WDQ5P1SX7Q	TRIMETHOBENZAMIDE HYDROCHLORIDE	372657005	Trimethobenzamide (substance)	C0077163
tincture of benzoide	tincture of benzoide	1	Map		1406	benzoin resin	C0005070	Benzoin [Chemical/Ingredient]	GK21SBA74R	BENZOIN RESIN	391828004	Benzoin (substance)	C0005070
TMP/SMX	TMP/SMX	1	Map		10831	Sulfamethoxazole / Trimethoprim	C0041044	Trimethoprim, Sulfamethoxazole Drug Combination [Chemical/Ingredient]			703745000	Sulfamethoxazole and trimethoprim (substance)	C0041044
tofrenil	tofrenil	1	Map		5691	Imipramine	C0020934	Imipramine [Chemical/Ingredient]	OGG85SX4E4	IMIPRAMINE	372718005	Imipramine (substance)	C0020934
tofrinol	tofrinol	1	Map		5691	Imipramine	C0020934	Imipramine [Chemical/Ingredient]	OGG85SX4E4	IMIPRAMINE	372718005	Imipramine (substance)	C0020934
tolectin	tolectin	1	Map		10636	Tolmetin	C0087097	Tolmetin [Chemical/Ingredient]	02N1TZF99F	TOLMETIN SODIUM	372748008	Tolmetin (substance)	C0040377
tomato	tomato	3	Map	Close map	891668	tomato allergenic extract	C0242772		Z4KHF2C175	TOMATO	256327008	Tomato - dietary (substance)	C0242772
tomato products	tomato products	1	Map	Close map	891668	tomato allergenic extract	C0037733		L7HT8F1ZOD	SOYBEAN	256355007	Soya bean (substance)	C0037733
TOMATOE	TOMATOE	2	Map	Close map	892499	tomato allergenic extract	C0242772		Z4KHF2C175	TOMATO	256327008	Tomato - dietary (substance)	C0242772
TOMATOES	TOMATOES	7	Map	Close map	892499	tomato allergenic extract	C0242772		Z4KHF2C175	TOMATO	256327008	Tomato - dietary (substance)	C0242772
Tomatoes cooked	Tomatoes cooked	1	Map	Close map	892499	tomato allergenic extract	C0242772		Z4KHF2C175	TOMATO	256327008	Tomato - dietary (substance)	C0242772
topical antibiotic ointments, ?type	topical antibiotic ointments, ?type	1	Map	Suggest adding text annotation			C1874271	[DE101] ANTIBACTERIAL,TOPICAL					C1874271
topical erythromycin	topical erythromycin	1	Map		4053	Erythromycin	C0014806	Erythromycin [Chemical/Ingredient]	63937KV33D	ERYTHROMYCIN	372694001	Erythromycin (substance)	C0014806
topramax	topramax	4	Map		38404	topiramate	C0076829	topiramate [Chemical/Ingredient]	0H73WJJ391	TOPIRAMATE	386844006	Topiramate (substance)	C0076829
Toprol	Toprol	1	Map		6918	Metoprolol	C0724633	Metoprolol [Chemical/Ingredient]	TH25PD4CCB	METOPROLOL SUCCINATE	372826007	Metoprolol (substance)	C0025859
Toradol	Toradol	7	Map		35827	Ketorolac	C0064326	Ketorolac [Chemical/Ingredient]	4EVE5946BQ	KETOROLAC TROMETHAMINE	372501008	Ketorolac (substance)	C0073631
tordol	tordol	2	Map		35827	Ketorolac	C0073631	Ketorolac [Chemical/Ingredient]	YZI5105V0L	KETOROLAC	372501008	Ketorolac (substance)	C0073631
torodol	torodol	1	Map		35827	Ketorolac	C0073631	Ketorolac [Chemical/Ingredient]	YZI5105V0L	KETOROLAC	372501008	Ketorolac (substance)	C0073631
tracruim	tracruim	1	Map		1218	Atracurium	C0004234	Atracurium [Chemical/Ingredient]	2GQ1IRY63P	ATRACURIUM	372835000	Atracurium (substance)	C0004234
tramadol	tramadol	4	Map		10689	Tramadol	C0040610	Tramadol [Chemical/Ingredient]	39J1LGJ30J	TRAMADOL	386858008	Tramadol (substance)	C0040610
tramidol	tramidol	1	Map		10689	Tramadol	C0040610	Tramadol [Chemical/Ingredient]	39J1LGJ30J	TRAMADOL	386858008	Tramadol (substance)	C0040610
TRANSPARENT DRESSINGS	TRANSPARENT DRESSINGS	1	Text annotation only										
trazadone	trazadone	1	Map		10737	Trazodone	C0040805	Trazodone [Chemical/Ingredient]	YBK48BXK30	TRAZODONE	372829000	Trazodone (substance)	C0040805
tree	tree	1	Map				C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	412583005	Bee pollen (substance)	C0795585
Tree Fruits	Tree Fruits	2	Text annotation only										
Tree nuts	Tree nuts	1	Map	Disorder/Symptom			C3714627	Nut Hypersensitivity [Disease/Finding]	FFY6MYO89N	TREE NUT, UNSPECIFIED	442571000124108	Tree nut (substance)	C3714627
tree nuts (almonds ok)	tree nuts (almonds ok)	1	Map	Disorder/Symptom			C3714627	Nut Hypersensitivity [Disease/Finding]	FFY6MYO89N	TREE NUT, UNSPECIFIED	442571000124108	Tree nut (substance)	C3714627
Tree/Grass/Ragweed Pollens	Grass Pollens	2	Map				C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	412583005	Bee pollen (substance)	C0795585
Tree/Grass/Ragweed Pollens	Ragweed Pollens	2	Map	Close map			C0993207	ALLERGENIC EXTRACT,RAGWEED STOCK POLLEN				Ragweed pollen (substance)	C0993207
Tree/Grass/Ragweed Pollens	Tree Pollens	2	Map				C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	412583005	Bee pollen (substance)	C0795585
trees	trees	5	Map				C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	412583005	Bee pollen (substance)	C0795585
trees grass mold cats dogs horses	cats	1	Map	Suggest adding text annotation			C3486461	Dander [Chemical/Ingredient]			260152009	Cat dander (substance)	C0440456
trees grass mold cats dogs horses	dogs	1	Map	Suggest adding text annotation			C3486461	Dander [Chemical/Ingredient]			260154005	Dog dander (substance)	C0440458
